selector,protocol,class,package
"accept:","visitor","AJCallArgument","AsmJit-StackManagement"
"prepareCallAlignments","function calls","AJCallArgument","AsmJit-StackManagement"
"stackOffset:","accessing","AJCallArgument","AsmJit-StackManagement"
"name","accessing","AJCallArgument","AsmJit-StackManagement"
"accept:","visitor","AJCallCleanup","AsmJit-StackManagement"
"name","accessing","AJCallCleanup","AsmJit-StackManagement"
"prepareCallAlignments","function calls","AJCallCleanup","AsmJit-StackManagement"
"callInfo","accessing","AJCallCleanup","AsmJit-StackManagement"
"callInfo:","accessing","AJCallCleanup","AsmJit-StackManagement"
"callCleanup:","accessing","AJCallInfo","AsmJit-StackManagement"
"defaultArgumentSize","accessing","AJCallInfo","AsmJit-StackManagement"
"stackSize:","accessing","AJCallInfo","AsmJit-StackManagement"
"noCleanup","accessing","AJCallInfo","AsmJit-StackManagement"
"alignmentInsertionPoint:","accessing","AJCallInfo","AsmJit-StackManagement"
"noticeArgument:","accessing","AJCallInfo","AsmJit-StackManagement"
"asm:","accessing","AJCallInfo","AsmJit-StackManagement"
"stackSize","accessing","AJCallInfo","AsmJit-StackManagement"
"initialize","initialize-release","AJCallInfo","AsmJit-StackManagement"
"needsAlignment","testing","AJCallInfo","AsmJit-StackManagement"
"disableCleanup","accessing","AJCallInfo","AsmJit-StackManagement"
"push:","pushing args","AJCallInfo","AsmJit-StackManagement"
"name","accessing","AJCallInfo","AsmJit-StackManagement"
"alignment:","accessing","AJCallInfo","AsmJit-StackManagement"
"defaultArgumentSize","accessing","AJCdeclCallInfo","AsmJit-StackManagement"
"alignedCleanup","emitting code","AJCdeclCallInfo","AsmJit-StackManagement"
"emitCleanup","emitting code","AJCdeclCallInfo","AsmJit-StackManagement"
"emitAlignmentIfNeeded","emitting code","AJCdeclCallInfo","AsmJit-StackManagement"
"normalCleanup","emitting code","AJCdeclCallInfo","AsmJit-StackManagement"
"emitAlignment","emitting code","AJCdeclCallInfo","AsmJit-StackManagement"
"data:","accessing","AJData","AsmJit-Instructions"
"is16","testing","AJData","AsmJit-Instructions"
"size","accessing","AJData","AsmJit-Instructions"
"accept:","visitor","AJData","AsmJit-Instructions"
"data","accessing","AJData","AsmJit-Instructions"
"emitCode:","emitting code","AJData","AsmJit-Instructions"
"is32","testing","AJData","AsmJit-Instructions"
"is8","testing","AJData","AsmJit-Instructions"
"is64","testing","AJData","AsmJit-Instructions"
"name","accessing","AJData","AsmJit-Instructions"
"initialize","initialize-release","AJGeneratedCode","AsmJit-Core"
"saveToFile","output","AJGeneratedCode","AsmJit-Core"
"dumpWithLabels","output","AJGeneratedCode","AsmJit-Core"
"bytes:","accessing","AJGeneratedCode","AsmJit-Core"
"fromInstructions:","initialize-release","AJGeneratedCode","AsmJit-Core"
"printOn:","printing","AJGeneratedCode","AsmJit-Core"
"bytes","accessing","AJGeneratedCode","AsmJit-Core"
"offsetAt:","accessing","AJGeneratedCode","AsmJit-Core"
"saveToFile:","output","AJGeneratedCode","AsmJit-Core"
"labels:","accessing","AJGeneratedCode","AsmJit-Core"
"isInt8","testing","AJImmediate","AsmJit-Operands"
"asQWord","converting","AJImmediate","AsmJit-Operands"
"emitUsing:size:","emitting code","AJImmediate","AsmJit-Operands"
"fitsInSize:","testing","AJImmediate","AsmJit-Operands"
"asDWord","converting","AJImmediate","AsmJit-Operands"
"isImm","testing","AJImmediate","AsmJit-Operands"
"isSigned","testing","AJImmediate","AsmJit-Operands"
"asByte","converting","AJImmediate","AsmJit-Operands"
"initialize","initialize-release","AJImmediate","AsmJit-Operands"
"value","accessing","AJImmediate","AsmJit-Operands"
"ivalue:","accessing","AJImmediate","AsmJit-Operands"
"printOn:","printing","AJImmediate","AsmJit-Operands"
"label:","accessing","AJImmediate","AsmJit-Operands"
"uvalue:","accessing","AJImmediate","AsmJit-Operands"
"isInt32","testing","AJImmediate","AsmJit-Operands"
"asWord","converting","AJImmediate","AsmJit-Operands"
"extractLabels:","accessing","AJImmediate","AsmJit-Operands"
"size","accessing","AJImmediate","AsmJit-Operands"
"sizeFor:","accessing","AJImmediate","AsmJit-Operands"
"ptr","converting","AJImmediate","AsmJit-Operands"
"asNBExternalType:","*NativeBoost-core","AJImmediate","AsmJit-Operands"
"isUnsigned","testing","AJImmediate","AsmJit-Operands"
"size:","accessing","AJImmediate","AsmJit-Operands"
"relocMode","accessing","AJImmediate","AsmJit-Operands"
"isZero","testing","AJImmediate","AsmJit-Operands"
"last","iterating","AJInstruction","AsmJit-Instructions"
"insert:","accessing","AJInstruction","AsmJit-Instructions"
"printSelfOn:","printing","AJInstruction","AsmJit-Instructions"
"printStringLimitedTo:","printing","AJInstruction","AsmJit-Instructions"
"isLabelUsed:","testing","AJInstruction","AsmJit-Instructions"
"hasLabel","testing","AJInstruction","AsmJit-Instructions"
"next","accessing","AJInstruction","AsmJit-Instructions"
"find:","helpers","AJInstruction","AsmJit-Instructions"
"level","accessing","AJInstruction","AsmJit-Instructions"
"position:","accessing","AJInstruction","AsmJit-Instructions"
"annotation","accessing","AJInstruction","AsmJit-Instructions"
"annotation:","accessing","AJInstruction","AsmJit-Instructions"
"increaseLevel:","accessing","AJInstruction","AsmJit-Instructions"
"initialize","initialize-release","AJInstruction","AsmJit-Instructions"
"printOperandsOn:","printing","AJInstruction","AsmJit-Instructions"
"accept:","visitor","AJInstruction","AsmJit-Instructions"
"printOn:","printing","AJInstruction","AsmJit-Instructions"
"setPrologue:","visitor","AJInstruction","AsmJit-Instructions"
"machineCodeSize","accessing","AJInstruction","AsmJit-Instructions"
"emitCodeAtOffset:assembler:","emitting code","AJInstruction","AsmJit-Instructions"
"operands:","accessing","AJInstruction","AsmJit-Instructions"
"operands","accessing","AJInstruction","AsmJit-Instructions"
"extractLabels:","accessing","AJInstruction","AsmJit-Instructions"
"storeOn:","printing","AJInstruction","AsmJit-Instructions"
"emitCode:","emitting code","AJInstruction","AsmJit-Instructions"
"insert:before:","manipulating","AJInstruction","AsmJit-Instructions"
"next:","accessing","AJInstruction","AsmJit-Instructions"
"printListOn:","printing","AJInstruction","AsmJit-Instructions"
"level:","accessing","AJInstruction","AsmJit-Instructions"
"replace:with:","manipulating","AJInstruction","AsmJit-Instructions"
"instructionName","accessing","AJInstruction","AsmJit-Instructions"
"do:","iterating","AJInstruction","AsmJit-Instructions"
"name:","accessing","AJInstruction","AsmJit-Instructions"
"position","accessing","AJInstruction","AsmJit-Instructions"
"prepareCallAlignments","function calls","AJInstruction","AsmJit-Instructions"
"printMachineCodeOn:","printing","AJInstruction","AsmJit-Instructions"
"printIndentOn:","printing","AJInstruction","AsmJit-Instructions"
"processTempsWith:","visitor","AJInstruction","AsmJit-Instructions"
"name","accessing","AJInstruction","AsmJit-Instructions"
"printAnnotationOn:","printing","AJInstruction","AsmJit-Instructions"
"end","accessing","AJInstructionDecoration","AsmJit-Instructions"
"printSelfOn:","printing","AJInstructionDecoration","AsmJit-Instructions"
"printIndentOn:","printing","AJInstructionDecoration","AsmJit-Instructions"
"accept:","visitor","AJInstructionDecoration","AsmJit-Instructions"
"start","accessing","AJInstructionDecoration","AsmJit-Instructions"
"printSelfOn:","printing","AJJumpInstruction","AsmJit-Instructions"
"description","accessing","AJJumpInstruction","AsmJit-Instructions"
"label","accessing","AJJumpInstruction","AsmJit-Instructions"
"accept:","visitor","AJJumpInstruction","AsmJit-Instructions"
"isLabelUsed:","testing","AJJumpInstruction","AsmJit-Instructions"
"description:","accessing","AJJumpInstruction","AsmJit-Instructions"
"label:","accessing","AJJumpInstruction","AsmJit-Instructions"
"codeSize","accessing","AJJumpInstruction","AsmJit-Instructions"
"isSet:","accessing","AJJumpLabel","AsmJit-Instructions"
"printSelfOn:","printing","AJJumpLabel","AsmJit-Instructions"
"extractLabels:","accessing","AJJumpLabel","AsmJit-Instructions"
"accept:","visitor","AJJumpLabel","AsmJit-Instructions"
"isSet","accessing","AJJumpLabel","AsmJit-Instructions"
"emitCode:","emitting code","AJJumpLabel","AsmJit-Instructions"
"printOn:","printing","AJJumpLabel","AsmJit-Instructions"
"isLabel","testing","AJJumpLabel","AsmJit-Instructions"
"printAsOperandOn:","printing","AJJumpLabel","AsmJit-Instructions"
"doesNotUnderstand:","error handling","AJLineStream","AsmJit-Extension"
"lf","writing","AJLineStream","AsmJit-Extension"
"padColumn:","writing","AJLineStream","AsmJit-Extension"
"crlf","writing","AJLineStream","AsmJit-Extension"
"updateLineStart","writing","AJLineStream","AsmJit-Extension"
"writeStream:","writing","AJLineStream","AsmJit-Extension"
"on:","writing","AJLineStream","AsmJit-Extension"
"cr","writing","AJLineStream","AsmJit-Extension"
"isRegTypeMM","testing","AJMMRegister","AsmJit-x86-Operands"
"isGeneralPurpose","testing","AJMMRegister","AsmJit-x86-Operands"
"code:","accessing","AJMMRegister","AsmJit-x86-Operands"
"descriptionOn:","printing","AJMMRegister","AsmJit-x86-Operands"
"hasLabel","accessing","AJMem","AsmJit-Operands"
"isRip","testing","AJMem","AsmJit-Operands"
"hasBase","testing","AJMem","AsmJit-Operands"
"displacement","accessing","AJMem","AsmJit-Operands"
"+","accessing","AJMem","AsmJit-Operands"
"-","accessing","AJMem","AsmJit-Operands"
"initialize","initialize-release","AJMem","AsmJit-Operands"
"printOn:","printing","AJMem","AsmJit-Operands"
"emitBaseDisplacementModRM:code:","emitting","AJMem","AsmJit-Operands"
"hasLabel:","accessing","AJMem","AsmJit-Operands"
"emit32BitAbsoluteDisplacementModRM:code:","emitting","AJMem","AsmJit-Operands"
"index","accessing","AJMem","AsmJit-Operands"
"hasIndex","testing","AJMem","AsmJit-Operands"
"size","accessing","AJMem","AsmJit-Operands"
"segmentPrefix","accessing","AJMem","AsmJit-Operands"
"base:","accessing","AJMem","AsmJit-Operands"
"shift","accessing","AJMem","AsmJit-Operands"
"emitModRM:code:immSize:","emitting","AJMem","AsmJit-Operands"
"hasSegmentPrefix","testing","AJMem","AsmJit-Operands"
"shift:","accessing","AJMem","AsmJit-Operands"
"size:","accessing","AJMem","AsmJit-Operands"
"segmentPrefix:","accessing","AJMem","AsmJit-Operands"
"base","accessing","AJMem","AsmJit-Operands"
"index:","accessing","AJMem","AsmJit-Operands"
"scale:","accessing","AJMem","AsmJit-Operands"
"isMem","testing","AJMem","AsmJit-Operands"
"isUpperBank","testing","AJMem","AsmJit-Operands"
"displacement:","accessing","AJMem","AsmJit-Operands"
"*","accessing","AJMem","AsmJit-Operands"
"emitScaledBaseDisplacementModRM:code:","emitting","AJMem","AsmJit-Operands"
"compilerData","accessing","AJOperand","AsmJit-Operands"
"is16","testing","AJOperand","AsmJit-Operands"
"asAJOperand","converting","AJOperand","AsmJit-Operands"
"isRegCode:","testing","AJOperand","AsmJit-Operands"
"isRegTypeMM","testing","AJOperand","AsmJit-Operands"
"isRegTypeGPQ","testing","AJOperand","AsmJit-Operands"
"isRip","testing","AJOperand","AsmJit-Operands"
"size32","accessing","AJOperand","AsmJit-Operands"
"isLabel","testing","AJOperand","AsmJit-Operands"
"isRegTypeX87","testing","AJOperand","AsmJit-Operands"
"isRegMem:","testing","AJOperand","AsmJit-Operands"
"annotation","accessing","AJOperand","AsmJit-Operands"
"annotation:","accessing","AJOperand","AsmJit-Operands"
"isImm","testing","AJOperand","AsmJit-Operands"
"ptr16","converting","AJOperand","AsmJit-Operands"
"ptr64","converting","AJOperand","AsmJit-Operands"
"stackSize","accessing","AJOperand","AsmJit-Operands"
"clearId","accessing","AJOperand","AsmJit-Operands"
"isRegIndex:","testing","AJOperand","AsmJit-Operands"
"isRegTypeGPB","testing","AJOperand","AsmJit-Operands"
"isRegTypeXMM","testing","AJOperand","AsmJit-Operands"
"printAsOperandOn:","printing","AJOperand","AsmJit-Operands"
"emitPushOnStack:","code generation","AJOperand","AsmJit-Operands"
"is64","testing","AJOperand","AsmJit-Operands"
"size16","accessing","AJOperand","AsmJit-Operands"
"extractLabels:","labels","AJOperand","AsmJit-Operands"
"ptr8","converting","AJOperand","AsmJit-Operands"
"isRegTypeGPW","testing","AJOperand","AsmJit-Operands"
"isRegMem","testing","AJOperand","AsmJit-Operands"
"size","accessing","AJOperand","AsmJit-Operands"
"ptr","converting","AJOperand","AsmJit-Operands"
"ptr32","converting","AJOperand","AsmJit-Operands"
"isRegType:","testing","AJOperand","AsmJit-Operands"
"size8","accessing","AJOperand","AsmJit-Operands"
"isNone","testing","AJOperand","AsmJit-Operands"
"is32","testing","AJOperand","AsmJit-Operands"
"operandId","accessing","AJOperand","AsmJit-Operands"
"isReg","testing","AJOperand","AsmJit-Operands"
"isMem","testing","AJOperand","AsmJit-Operands"
"size64","accessing","AJOperand","AsmJit-Operands"
"is8","testing","AJOperand","AsmJit-Operands"
"isRegTypeGPD","testing","AJOperand","AsmJit-Operands"
"printAnnotationOn:","printing","AJOperand","AsmJit-Operands"
"isReg","testing","AJRegister","AsmJit-Operands"
"influencingRegisters","accessing","AJRegister","AsmJit-Operands"
"code:","accessing","AJRegister","AsmJit-Operands"
"size","accessing","AJRegister","AsmJit-Operands"
"isGeneralPurpose","testing","AJRegister","AsmJit-Operands"
"printSelfOn:","printing","AJReleaseTemps","AsmJit-StackManagement"
"count","accessing","AJReleaseTemps","AsmJit-StackManagement"
"count:","accessing","AJReleaseTemps","AsmJit-StackManagement"
"accept:","visitor","AJReleaseTemps","AsmJit-StackManagement"
"printOn:","printing","AJReleaseTemps","AsmJit-StackManagement"
"processTempsWith:","visitor","AJReleaseTemps","AsmJit-StackManagement"
"emitPushOnStack:","emitting code","AJReserveTemp","AsmJit-StackManagement"
"asAJOperand","converting","AJReserveTemp","AsmJit-StackManagement"
"size","accessing","AJReserveTemp","AsmJit-StackManagement"
"stackSize","accessing","AJReserveTemp","AsmJit-StackManagement"
"size:","accessing","AJReserveTemp","AsmJit-StackManagement"
"accept:","visitor","AJReserveTemp","AsmJit-StackManagement"
"printOn:","printing","AJReserveTemp","AsmJit-StackManagement"
"operand:","accessing","AJReserveTemp","AsmJit-StackManagement"
"printAsOperandOn:","printing","AJReserveTemp","AsmJit-StackManagement"
"name","accessing","AJReserveTemp","AsmJit-StackManagement"
"isMem","testing","AJReserveTemp","AsmJit-StackManagement"
"processTempsWith:","visitor","AJReserveTemp","AsmJit-StackManagement"
"operand","accessing","AJReserveTemp","AsmJit-StackManagement"
"setPrologue:","visitor","AJRoutinePrologue","AsmJit-Instructions"
"name","accessing","AJRoutinePrologue","AsmJit-Instructions"
"accept:","visitor","AJRoutinePrologue","AsmJit-Instructions"
"emitCode:","emitting code","AJRoutinePrologue","AsmJit-Instructions"
"initialize","initialize-release","AJRoutineStackManager","AsmJit-StackManagement"
"newStdCall","as yet unclassified","AJRoutineStackManager","AsmJit-StackManagement"
"noStackFrame","as yet unclassified","AJRoutineStackManager","AsmJit-StackManagement"
"analyzeInstructions:assembler:","as yet unclassified","AJRoutineStackManager","AsmJit-StackManagement"
"newCdeclCall","as yet unclassified","AJRoutineStackManager","AsmJit-StackManagement"
"releaseTemps:","as yet unclassified","AJRoutineStackManager","AsmJit-StackManagement"
"reset","initialize-release","AJRoutineStackManager","AsmJit-StackManagement"
"reserveExtraBytesOnStack:","as yet unclassified","AJRoutineStackManager","AsmJit-StackManagement"
"emitPrologue","emitting","AJRoutineStackManager","AsmJit-StackManagement"
"reserveTemp:","as yet unclassified","AJRoutineStackManager","AsmJit-StackManagement"
"stackFrameCheck","as yet unclassified","AJRoutineStackManager","AsmJit-StackManagement"
"emitEpilogue:assembler:","as yet unclassified","AJRoutineStackManager","AsmJit-StackManagement"
"callInfo:","accessing","AJStackInstruction","AsmJit-StackManagement"
"callInfo","accessing","AJStackInstruction","AsmJit-StackManagement"
"emitAlignmentIfNeeded","emitting code","AJStdCallCallInfo","AsmJit-StackManagement"
"emitAlignment","emitting code","AJStdCallCallInfo","AsmJit-StackManagement"
"R12W","accessing registers","AJx64Assembler","AsmJit-x86"
"R9","accessing registers","AJx64Assembler","AsmJit-x86"
"RCX","accessing registers","AJx64Assembler","AsmJit-x86"
"RIP","accessing registers","AJx64Assembler","AsmJit-x86"
"R10B","accessing registers","AJx64Assembler","AsmJit-x86"
"basePointer","register","AJx64Assembler","AsmJit-x86"
"numGPRegisters","accessing","AJx64Assembler","AsmJit-x86"
"R14B","accessing registers","AJx64Assembler","AsmJit-x86"
"R9D","accessing registers","AJx64Assembler","AsmJit-x86"
"XMM9","accessing registers","AJx64Assembler","AsmJit-x86"
"initialize","initialize-release","AJx64Assembler","AsmJit-x86"
"R15W","accessing registers","AJx64Assembler","AsmJit-x86"
"R11","accessing registers","AJx64Assembler","AsmJit-x86"
"data","register","AJx64Assembler","AsmJit-x86"
"R11D","accessing registers","AJx64Assembler","AsmJit-x86"
"R12D","accessing registers","AJx64Assembler","AsmJit-x86"
"R10W","accessing registers","AJx64Assembler","AsmJit-x86"
"RDX","accessing registers","AJx64Assembler","AsmJit-x86"
"XMM13","accessing registers","AJx64Assembler","AsmJit-x86"
"R8B","accessing registers","AJx64Assembler","AsmJit-x86"
"R8","accessing registers","AJx64Assembler","AsmJit-x86"
"instructionPointer","register","AJx64Assembler","AsmJit-x86"
"RDI","accessing registers","AJx64Assembler","AsmJit-x86"
"instructionDesciptions","accessing","AJx64Assembler","AsmJit-x86"
"XMM8","accessing registers","AJx64Assembler","AsmJit-x86"
"IP","accessing registers","AJx64Assembler","AsmJit-x86"
"XMM12","accessing registers","AJx64Assembler","AsmJit-x86"
"R12","accessing registers","AJx64Assembler","AsmJit-x86"
"R8D","accessing registers","AJx64Assembler","AsmJit-x86"
"R10D","accessing registers","AJx64Assembler","AsmJit-x86"
"destinationIndex","register","AJx64Assembler","AsmJit-x86"
"newInstruction","accessing","AJx64Assembler","AsmJit-x86"
"R8W","accessing registers","AJx64Assembler","AsmJit-x86"
"stackPointer","register","AJx64Assembler","AsmJit-x86"
"XMM14","accessing registers","AJx64Assembler","AsmJit-x86"
"RSP","accessing registers","AJx64Assembler","AsmJit-x86"
"RBX","accessing registers","AJx64Assembler","AsmJit-x86"
"RSI","accessing registers","AJx64Assembler","AsmJit-x86"
"R15D","accessing registers","AJx64Assembler","AsmJit-x86"
"XMM15","accessing registers","AJx64Assembler","AsmJit-x86"
"R9W","accessing registers","AJx64Assembler","AsmJit-x86"
"R13B","accessing registers","AJx64Assembler","AsmJit-x86"
"R14","accessing registers","AJx64Assembler","AsmJit-x86"
"EIP","accessing registers","AJx64Assembler","AsmJit-x86"
"R14W","accessing registers","AJx64Assembler","AsmJit-x86"
"R15","accessing registers","AJx64Assembler","AsmJit-x86"
"newJumpInstruction","accessing","AJx64Assembler","AsmJit-x86"
"sourceIndex","register","AJx64Assembler","AsmJit-x86"
"XMM11","accessing registers","AJx64Assembler","AsmJit-x86"
"R14D","accessing registers","AJx64Assembler","AsmJit-x86"
"R12B","accessing registers","AJx64Assembler","AsmJit-x86"
"R13D","accessing registers","AJx64Assembler","AsmJit-x86"
"R10","accessing registers","AJx64Assembler","AsmJit-x86"
"counter","register","AJx64Assembler","AsmJit-x86"
"R13W","accessing registers","AJx64Assembler","AsmJit-x86"
"R11W","accessing registers","AJx64Assembler","AsmJit-x86"
"R11B","accessing registers","AJx64Assembler","AsmJit-x86"
"R13","accessing registers","AJx64Assembler","AsmJit-x86"
"accumulator","register","AJx64Assembler","AsmJit-x86"
"RAX","accessing registers","AJx64Assembler","AsmJit-x86"
"R15B","accessing registers","AJx64Assembler","AsmJit-x86"
"pointerSize","accessing","AJx64Assembler","AsmJit-x86"
"R9B","accessing registers","AJx64Assembler","AsmJit-x86"
"is32","testing","AJx64Assembler","AsmJit-x86"
"XMM10","accessing registers","AJx64Assembler","AsmJit-x86"
"RBP","accessing registers","AJx64Assembler","AsmJit-x86"
"is32BitMode","testing","AJx64Instruction","AsmJit-x86-Instructions"
"instructionDesciptions","accessing","AJx64Instruction","AsmJit-x86-Instructions"
"is64BitMode","testing","AJx64Instruction","AsmJit-x86-Instructions"
"emitbswap:operand1:operand2:operand3:","code emitting","AJx64InstructionDescription","AsmJit-x86-Instructions"
"emitpop:operand1:operand2:operand3:","code emitting","AJx64InstructionDescription","AsmJit-x86-Instructions"
"emitcall:operand1:operand2:operand3:","code emitting","AJx64InstructionDescription","AsmJit-x86-Instructions"
"emitmovSxZx:operand1:operand2:operand3:","code emitting","AJx64InstructionDescription","AsmJit-x86-Instructions"
"emitmov:operand1:operand2:operand3:","code emitting","AJx64InstructionDescription","AsmJit-x86-Instructions"
"emitalu:operand1:operand2:operand3:","code emitting","AJx64InstructionDescription","AsmJit-x86-Instructions"
"emitmovPtr:operand1:operand2:operand3:","code emitting","AJx64InstructionDescription","AsmJit-x86-Instructions"
"instructionDesciptions","accessing","AJx64JumpInstruction","AsmJit-x86-Instructions"
"as64","converting","AJx64RipRegister","AsmJit-x86-Operands"
"code","accessing","AJx64RipRegister","AsmJit-x86-Operands"
"as32","converting","AJx64RipRegister","AsmJit-x86-Operands"
"isRip","testing","AJx64RipRegister","AsmJit-x86-Operands"
"influencingRegisters","accessing","AJx64RipRegister","AsmJit-x86-Operands"
"ripAccessError","error","AJx64RipRegister","AsmJit-x86-Operands"
"as8","converting","AJx64RipRegister","AsmJit-x86-Operands"
"descriptionOn:","printing","AJx64RipRegister","AsmJit-x86-Operands"
"isGeneralPurpose","testing","AJx64RipRegister","AsmJit-x86-Operands"
"isUpperBank","testing","AJx64RipRegister","AsmJit-x86-Operands"
"as16","converting","AJx64RipRegister","AsmJit-x86-Operands"
"isX86","testing","AJx64RipRegister","AsmJit-x86-Operands"
"index","accessing","AJx64RipRegister","AsmJit-x86-Operands"
"alignDouble","alignment","AJx86Assembler","AsmJit-x86"
"fldenv:","instructions generated","AJx86Assembler","AsmJit-x86"
"movzx:with:","instructions generated","AJx86Assembler","AsmJit-x86"
"amdprefetch:","instructions generated","AJx86Assembler","AsmJit-x86"
"jno:","instructions generated","AJx86Assembler","AsmJit-x86"
"ESP","accessing registers","AJx86Assembler","AsmJit-x86"
"jnae:","instructions generated","AJx86Assembler","AsmJit-x86"
"fxsave:","instructions generated","AJx86Assembler","AsmJit-x86"
"mov:with:","instructions generated","AJx86Assembler","AsmJit-x86"
"initialize","initialize-release","AJx86Assembler","AsmJit-x86"
"data","register","AJx86Assembler","AsmJit-x86"
"cmovbe:with:","instructions generated","AJx86Assembler","AsmJit-x86"
"imul:with:with:","instructions generated","AJx86Assembler","AsmJit-x86"
"jnc:","instructions generated","AJx86Assembler","AsmJit-x86"
"movmskpd:with:","instructions generated","AJx86Assembler","AsmJit-x86"
"newCdeclCall","function calls","AJx86Assembler","AsmJit-x86"
"cmovae:with:","instructions generated","AJx86Assembler","AsmJit-x86"
"imm:","converting","AJx86Assembler","AsmJit-x86"
"jnle:","instructions generated","AJx86Assembler","AsmJit-x86"
"adc:with:","instructions generated","AJx86Assembler","AsmJit-x86"
"instructionDesciptions","accessing","AJx86Assembler","AsmJit-x86"
"stackPointer","register","AJx86Assembler","AsmJit-x86"
"noStackFrame","options","AJx86Assembler","AsmJit-x86"
"reset","initialize-release","AJx86Assembler","AsmJit-x86"
"XMM1","accessing registers","AJx86Assembler","AsmJit-x86"
"fstcw:","instructions generated","AJx86Assembler","AsmJit-x86"
"ficom:","instructions generated","AJx86Assembler","AsmJit-x86"
"MM4","accessing registers","AJx86Assembler","AsmJit-x86"
"cmovp:with:","instructions generated","AJx86Assembler","AsmJit-x86"
"fmul:","instructions generated","AJx86Assembler","AsmJit-x86"
"fsubp:","instructions generated","AJx86Assembler","AsmJit-x86"
"fucomp:","instructions generated","AJx86Assembler","AsmJit-x86"
"dec:","instructions generated","AJx86Assembler","AsmJit-x86"
"releaseTemps:","stack management","AJx86Assembler","AsmJit-x86"
"cmove:with:","instructions generated","AJx86Assembler","AsmJit-x86"
"cmpxchg16b:","instructions generated","AJx86Assembler","AsmJit-x86"
"fbld:","instructions generated","AJx86Assembler","AsmJit-x86"
"fldcw:","instructions generated","AJx86Assembler","AsmJit-x86"
"and:with:","instructions generated","AJx86Assembler","AsmJit-x86"
"movsxd:with:","instructions generated","AJx86Assembler","AsmJit-x86"
"cmovna:with:","instructions generated","AJx86Assembler","AsmJit-x86"
"cmovo:with:","instructions generated","AJx86Assembler","AsmJit-x86"
"fcomip:","instructions generated","AJx86Assembler","AsmJit-x86"
"AH","accessing registers","AJx86Assembler","AsmJit-x86"
"addInstruction:operands:","instruction list","AJx86Assembler","AsmJit-x86"
"cmovne:with:","instructions generated","AJx86Assembler","AsmJit-x86"
"fild:","instructions generated","AJx86Assembler","AsmJit-x86"
"bts:with:","instructions generated","AJx86Assembler","AsmJit-x86"
"cmovb:with:","instructions generated","AJx86Assembler","AsmJit-x86"
"isLabelUsed:","testing","AJx86Assembler","AsmJit-x86"
"XMM3","accessing registers","AJx86Assembler","AsmJit-x86"
"pop:","instructions generated","AJx86Assembler","AsmJit-x86"
"rcl:with:","instructions generated","AJx86Assembler","AsmJit-x86"
"cmovnc:with:","instructions generated","AJx86Assembler","AsmJit-x86"
"shld:with:with:","instructions generated","AJx86Assembler","AsmJit-x86"
"reg8:","accessing","AJx86Assembler","AsmJit-x86"
"jle:","instructions generated","AJx86Assembler","AsmJit-x86"
"reg:size:","accessing","AJx86Assembler","AsmJit-x86"
