selector,protocol,class,package
"type","accessing","AJBaseReg","Kernel"
"isGeneralPurpose","testing","AJBaseReg","Kernel"
"isUpperBank","testing","AJBaseReg","Kernel"
"isX86","testing","AJBaseReg","Kernel"
"name","accessing","AJBaseReg","Kernel"
"requiresRex","testing","AJBaseReg","Kernel"
"index","accessing","AJBaseReg","Kernel"
"size:","accessing","AJCallArgument","Kernel"
"size","accessing","AJCallArgument","Kernel"
"instructionName","accessing","AJCallArgument","Kernel"
"accept:","visitor","AJCallArgument","Kernel"
"prepareCallAlignments","function calls","AJCallArgument","Kernel"
"stackOffset:","accessing","AJCallArgument","Kernel"
"name","accessing","AJCallArgument","Kernel"
"name","accessing","AJCallCleanup","Kernel"
"accept:","visitor","AJCallCleanup","Kernel"
"prepareCallAlignments","function calls","AJCallCleanup","Kernel"
"callCleanup:","accessing","AJCallInfo","Kernel"
"defaultArgumentSize","accessing","AJCallInfo","Kernel"
"stackSize:","accessing","AJCallInfo","Kernel"
"noCleanup","accessing","AJCallInfo","Kernel"
"alignmentInsertionPoint:","accessing","AJCallInfo","Kernel"
"noticeArgument:","accessing","AJCallInfo","Kernel"
"asm:","accessing","AJCallInfo","Kernel"
"stackSize","accessing","AJCallInfo","Kernel"
"initialize","initialization","AJCallInfo","Kernel"
"needsAlignment","testing","AJCallInfo","Kernel"
"disableCleanup","accessing","AJCallInfo","Kernel"
"push:","pushing args","AJCallInfo","Kernel"
"name","accessing","AJCallInfo","Kernel"
"alignment:","accessing","AJCallInfo","Kernel"
"defaultArgumentSize","accessing","AJCdeclCallInfo","Kernel"
"alignedCleanup","emitting code","AJCdeclCallInfo","Kernel"
"emitCleanup","emitting code","AJCdeclCallInfo","Kernel"
"emitAlignmentIfNeeded","emitting code","AJCdeclCallInfo","Kernel"
"normalCleanup","emitting code","AJCdeclCallInfo","Kernel"
"emitAlignment","emitting code","AJCdeclCallInfo","Kernel"
"data:","accessing","AJData","Kernel"
"is16","testing","AJData","Kernel"
"size","accessing","AJData","Kernel"
"accept:","visitor","AJData","Kernel"
"data","accessing","AJData","Kernel"
"emitCode:","emitting code","AJData","Kernel"
"is32","testing","AJData","Kernel"
"is8","testing","AJData","Kernel"
"is64","testing","AJData","Kernel"
"name","accessing","AJData","Kernel"
"initialize","initialization","AJGeneratedCode","Kernel"
"saveToFile","output","AJGeneratedCode","Kernel"
"dumpWithLabels","output","AJGeneratedCode","Kernel"
"bytes:","accessing","AJGeneratedCode","Kernel"
"fromInstructions:","initialize-release","AJGeneratedCode","Kernel"
"printOn:","printing","AJGeneratedCode","Kernel"
"bytes","accessing","AJGeneratedCode","Kernel"
"offsetAt:","accessing","AJGeneratedCode","Kernel"
"saveToFile:","output","AJGeneratedCode","Kernel"
"labels:","accessing","AJGeneratedCode","Kernel"
"isInt8","testing","AJImmediate","Kernel"
"asQWord","converting","AJImmediate","Kernel"
"emitUsing:size:","emitting code","AJImmediate","Kernel"
"fitsInSize:","testing","AJImmediate","Kernel"
"asDWord","converting","AJImmediate","Kernel"
"isImm","testing","AJImmediate","Kernel"
"isSigned","testing","AJImmediate","Kernel"
"asByte","converting","AJImmediate","Kernel"
"initialize","initialization","AJImmediate","Kernel"
"value","accessing","AJImmediate","Kernel"
"ivalue:","accessing","AJImmediate","Kernel"
"printOn:","printing","AJImmediate","Kernel"
"label:","accessing","AJImmediate","Kernel"
"requiresRex","testing","AJImmediate","Kernel"
"uvalue:","accessing","AJImmediate","Kernel"
"isInt32","testing","AJImmediate","Kernel"
"asWord","converting","AJImmediate","Kernel"
"prohibitsRex","testing","AJImmediate","Kernel"
"extractLabels:","accessing","AJImmediate","Kernel"
"size","accessing","AJImmediate","Kernel"
"sizeFor:","accessing","AJImmediate","Kernel"
"ptr","converting","AJImmediate","Kernel"
"asNBExternalType:","*NativeBoost-core","AJImmediate","Kernel"
"isUnsigned","testing","AJImmediate","Kernel"
"size:","accessing","AJImmediate","Kernel"
"relocMode","accessing","AJImmediate","Kernel"
"isZero","testing","AJImmediate","Kernel"
"last","iterating","AJInstruction","Kernel"
"insert:","accessing","AJInstruction","Kernel"
"printSelfOn:","printing","AJInstruction","Kernel"
"printStringLimitedTo:","printing","AJInstruction","Kernel"
"isLabelUsed:","testing","AJInstruction","Kernel"
"hasLabel","testing","AJInstruction","Kernel"
"next","accessing","AJInstruction","Kernel"
"find:","helpers","AJInstruction","Kernel"
"level","accessing","AJInstruction","Kernel"
"position:","accessing","AJInstruction","Kernel"
"annotation","accessing","AJInstruction","Kernel"
"annotation:","accessing","AJInstruction","Kernel"
"increaseLevel:","accessing","AJInstruction","Kernel"
"initialize","initialization","AJInstruction","Kernel"
"printOperandsOn:","printing","AJInstruction","Kernel"
"accept:","visitor","AJInstruction","Kernel"
"printOn:","printing","AJInstruction","Kernel"
"setPrologue:","visitor","AJInstruction","Kernel"
"machineCodeSize","accessing","AJInstruction","Kernel"
"emitCodeAtOffset:assembler:","emitting code","AJInstruction","Kernel"
"checkOperandsForConflict","helpers","AJInstruction","Kernel"
"operands:","accessing","AJInstruction","Kernel"
"operands","accessing","AJInstruction","Kernel"
"extractLabels:","accessing","AJInstruction","Kernel"
"storeOn:","printing","AJInstruction","Kernel"
"emitCode:","emitting code","AJInstruction","Kernel"
"insert:before:","manipulating","AJInstruction","Kernel"
"next:","accessing","AJInstruction","Kernel"
"printListOn:","printing","AJInstruction","Kernel"
"level:","accessing","AJInstruction","Kernel"
"replace:with:","manipulating","AJInstruction","Kernel"
"instructionName","accessing","AJInstruction","Kernel"
"do:","iterating","AJInstruction","Kernel"
"name:","accessing","AJInstruction","Kernel"
"position","accessing","AJInstruction","Kernel"
"prepareCallAlignments","function calls","AJInstruction","Kernel"
"printMachineCodeOn:","printing","AJInstruction","Kernel"
"printIndentOn:","printing","AJInstruction","Kernel"
"processTempsWith:","visitor","AJInstruction","Kernel"
"name","accessing","AJInstruction","Kernel"
"printAnnotationOn:","printing","AJInstruction","Kernel"
"end","accessing","AJInstructionDecoration","Kernel"
"printSelfOn:","printing","AJInstructionDecoration","Kernel"
"printIndentOn:","printing","AJInstructionDecoration","Kernel"
"accept:","visitor","AJInstructionDecoration","Kernel"
"start","accessing","AJInstructionDecoration","Kernel"
"printSelfOn:","printing","AJJumpInstruction","Kernel"
"description","accessing","AJJumpInstruction","Kernel"
"label","accessing","AJJumpInstruction","Kernel"
"accept:","visitor","AJJumpInstruction","Kernel"
"isLabelUsed:","testing","AJJumpInstruction","Kernel"
"description:","accessing","AJJumpInstruction","Kernel"
"label:","accessing","AJJumpInstruction","Kernel"
"codeSize","accessing","AJJumpInstruction","Kernel"
"isSet:","accessing","AJJumpLabel","Kernel"
"printSelfOn:","printing","AJJumpLabel","Kernel"
"extractLabels:","accessing","AJJumpLabel","Kernel"
"accept:","visitor","AJJumpLabel","Kernel"
"isSet","accessing","AJJumpLabel","Kernel"
"emitCode:","emitting code","AJJumpLabel","Kernel"
"printOn:","printing","AJJumpLabel","Kernel"
"isLabel","testing","AJJumpLabel","Kernel"
"printAsOperandOn:","printing","AJJumpLabel","Kernel"
"doesNotUnderstand:","error handling","AJLineStream","Kernel"
"lf","writing","AJLineStream","Kernel"
"padColumn:","writing","AJLineStream","Kernel"
"crlf","writing","AJLineStream","Kernel"
"updateLineStart","writing","AJLineStream","Kernel"
"writeStream:","writing","AJLineStream","Kernel"
"on:","writing","AJLineStream","Kernel"
"cr","writing","AJLineStream","Kernel"
"isRegTypeMM","testing","AJMMRegister","Kernel"
"isGeneralPurpose","testing","AJMMRegister","Kernel"
"code:","accessing","AJMMRegister","Kernel"
"influencingRegisters","accessing","AJMMRegister","Kernel"
"descriptionOn:","printing","AJMMRegister","Kernel"
"isX86","testing","AJMMRegister","Kernel"
"hasUpperBankIndex","testing","AJMem","Kernel"
"hasLabel","accessing","AJMem","Kernel"
"isRip","testing","AJMem","Kernel"
"hasBase","testing","AJMem","Kernel"
"displacement","accessing","AJMem","Kernel"
"+","accessing","AJMem","Kernel"
"-","accessing","AJMem","Kernel"
"initialize","initialization","AJMem","Kernel"
"printOn:","printing","AJMem","Kernel"
"emitBaseDisplacementModRM:code:","emitting","AJMem","Kernel"
"hasLabel:","accessing","AJMem","Kernel"
"requiresRex","testing","AJMem","Kernel"
"emit32BitAbsoluteDisplacementModRM:code:","emitting","AJMem","Kernel"
"index","accessing","AJMem","Kernel"
"prohibitsRex","testing","AJMem","Kernel"
"hasIndex","testing","AJMem","Kernel"
"size","accessing","AJMem","Kernel"
"segmentPrefix","accessing","AJMem","Kernel"
"base:","accessing","AJMem","Kernel"
"shift","accessing","AJMem","Kernel"
"emitModRM:code:immSize:","emitting","AJMem","Kernel"
"hasSegmentPrefix","testing","AJMem","Kernel"
"shift:","accessing","AJMem","Kernel"
"size:","accessing","AJMem","Kernel"
"segmentPrefix:","accessing","AJMem","Kernel"
"base","accessing","AJMem","Kernel"
"index:","accessing","AJMem","Kernel"
"scale:","accessing","AJMem","Kernel"
"isMem","testing","AJMem","Kernel"
"isUpperBank","testing","AJMem","Kernel"
"displacement:","accessing","AJMem","Kernel"
"*","accessing","AJMem","Kernel"
"emitScaledBaseDisplacementModRM:code:","emitting","AJMem","Kernel"
"printScaleOn:","printing","AJMem","Kernel"
"compilerData","accessing","AJOperand","Kernel"
"is16","testing","AJOperand","Kernel"
"asAJOperand","converting","AJOperand","Kernel"
"isRegCode:","testing","AJOperand","Kernel"
"isRegTypeMM","testing","AJOperand","Kernel"
"isRegTypeGPQ","testing","AJOperand","Kernel"
"isRip","testing","AJOperand","Kernel"
"size32","accessing","AJOperand","Kernel"
"hasUpperBankIndex","testing","AJOperand","Kernel"
"isLabel","testing","AJOperand","Kernel"
"isRegTypeX87","testing","AJOperand","Kernel"
"isRegMem:","testing","AJOperand","Kernel"
"annotation","accessing","AJOperand","Kernel"
"annotation:","accessing","AJOperand","Kernel"
"isImm","testing","AJOperand","Kernel"
"ptr16","converting","AJOperand","Kernel"
"ptr64","converting","AJOperand","Kernel"
"stackSize","accessing","AJOperand","Kernel"
"clearId","accessing","AJOperand","Kernel"
"isRegIndex:","testing","AJOperand","Kernel"
"isRegTypeGPB","testing","AJOperand","Kernel"
"isRegTypeXMM","testing","AJOperand","Kernel"
"printAsOperandOn:","printing","AJOperand","Kernel"
"emitPushOnStack:","code generation","AJOperand","Kernel"
"is64","testing","AJOperand","Kernel"
"requiresRex","testing","AJOperand","Kernel"
"prohibitsRex","testing","AJOperand","Kernel"
"size16","accessing","AJOperand","Kernel"
"extractLabels:","labels","AJOperand","Kernel"
"ptr8","converting","AJOperand","Kernel"
"isRegTypeGPW","testing","AJOperand","Kernel"
"isRegMem","testing","AJOperand","Kernel"
"size","accessing","AJOperand","Kernel"
"ptr","converting","AJOperand","Kernel"
"ptr32","converting","AJOperand","Kernel"
"isRegType:","testing","AJOperand","Kernel"
"size8","accessing","AJOperand","Kernel"
"isNone","testing","AJOperand","Kernel"
"is32","testing","AJOperand","Kernel"
"operandId","accessing","AJOperand","Kernel"
"isReg","testing","AJOperand","Kernel"
"isMem","testing","AJOperand","Kernel"
"size64","accessing","AJOperand","Kernel"
"is8","testing","AJOperand","Kernel"
"isRegTypeGPD","testing","AJOperand","Kernel"
"printAnnotationOn:","printing","AJOperand","Kernel"
"isReg","testing","AJRegister","Kernel"
"influencingRegisters","accessing","AJRegister","Kernel"
"code:","accessing","AJRegister","Kernel"
"size","accessing","AJRegister","Kernel"
"isGeneralPurpose","testing","AJRegister","Kernel"
"isX86","testing","AJRegister","Kernel"
"printSelfOn:","printing","AJReleaseTemps","Kernel"
"count","accessing","AJReleaseTemps","Kernel"
"count:","accessing","AJReleaseTemps","Kernel"
"accept:","visitor","AJReleaseTemps","Kernel"
"printOn:","printing","AJReleaseTemps","Kernel"
"processTempsWith:","visitor","AJReleaseTemps","Kernel"
"operand","accessing","AJReserveTemp","Kernel"
"prohibitsRex","testing","AJReserveTemp","Kernel"
"asAJOperand","converting","AJReserveTemp","Kernel"
"size","accessing","AJReserveTemp","Kernel"
"stackSize","accessing","AJReserveTemp","Kernel"
"size:","accessing","AJReserveTemp","Kernel"
"accept:","visitor","AJReserveTemp","Kernel"
"printOn:","printing","AJReserveTemp","Kernel"
"isMem","testing","AJReserveTemp","Kernel"
"operand:","accessing","AJReserveTemp","Kernel"
"printAsOperandOn:","printing","AJReserveTemp","Kernel"
"processTempsWith:","visitor","AJReserveTemp","Kernel"
"emitPushOnStack:","emitting code","AJReserveTemp","Kernel"
"name","accessing","AJReserveTemp","Kernel"
"setPrologue:","visitor","AJRoutinePrologue","Kernel"
"name","accessing","AJRoutinePrologue","Kernel"
"accept:","visitor","AJRoutinePrologue","Kernel"
"emitCode:","emitting code","AJRoutinePrologue","Kernel"
"initialize","initialization","AJRoutineStackManager","Kernel"
"newStdCall","as yet unclassified","AJRoutineStackManager","Kernel"
"noStackFrame","as yet unclassified","AJRoutineStackManager","Kernel"
"analyzeInstructions:assembler:","as yet unclassified","AJRoutineStackManager","Kernel"
"newCdeclCall","as yet unclassified","AJRoutineStackManager","Kernel"
"releaseTemps:","as yet unclassified","AJRoutineStackManager","Kernel"
"reset","initialize-release","AJRoutineStackManager","Kernel"
"reserveExtraBytesOnStack:","as yet unclassified","AJRoutineStackManager","Kernel"
"emitPrologue","emitting","AJRoutineStackManager","Kernel"
"reserveTemp:","as yet unclassified","AJRoutineStackManager","Kernel"
"stackFrameCheck","as yet unclassified","AJRoutineStackManager","Kernel"
"emitEpilogue:assembler:","as yet unclassified","AJRoutineStackManager","Kernel"
"testNewProtocolForAlignedCalls","tests","AJStackAlignmentTests","Kernel"
"newAssembler","utility","AJStackAlignmentTests","Kernel"
"testJumps","tests","AJStackAlignmentTests","Kernel"
"callInfo:","accessing","AJStackInstruction","Kernel"
"callInfo","accessing","AJStackInstruction","Kernel"
"emitAlignmentIfNeeded","emitting code","AJStdCallCallInfo","Kernel"
"emitAlignment","emitting code","AJStdCallCallInfo","Kernel"
"R12W","accessing registers","AJx64Assembler","Kernel"
"R9","accessing registers","AJx64Assembler","Kernel"
"RCX","accessing registers","AJx64Assembler","Kernel"
"RIP","accessing registers","AJx64Assembler","Kernel"
"R10B","accessing registers","AJx64Assembler","Kernel"
"SIL","accessing registers","AJx64Assembler","Kernel"
"basePointer","register","AJx64Assembler","Kernel"
"numGPRegisters","accessing","AJx64Assembler","Kernel"
"R14B","accessing registers","AJx64Assembler","Kernel"
"R9D","accessing registers","AJx64Assembler","Kernel"
"XMM9","accessing registers","AJx64Assembler","Kernel"
"initialize","initialization","AJx64Assembler","Kernel"
"R15W","accessing registers","AJx64Assembler","Kernel"
"R11","accessing registers","AJx64Assembler","Kernel"
"data","register","AJx64Assembler","Kernel"
"SPL","accessing registers","AJx64Assembler","Kernel"
"R11D","accessing registers","AJx64Assembler","Kernel"
"R12D","accessing registers","AJx64Assembler","Kernel"
"R10W","accessing registers","AJx64Assembler","Kernel"
"RDX","accessing registers","AJx64Assembler","Kernel"
"XMM13","accessing registers","AJx64Assembler","Kernel"
"R8B","accessing registers","AJx64Assembler","Kernel"
"R8","accessing registers","AJx64Assembler","Kernel"
"instructionPointer","register","AJx64Assembler","Kernel"
"RDI","accessing registers","AJx64Assembler","Kernel"
"instructionDesciptions","accessing","AJx64Assembler","Kernel"
"XMM8","accessing registers","AJx64Assembler","Kernel"
"IP","accessing registers","AJx64Assembler","Kernel"
"XMM12","accessing registers","AJx64Assembler","Kernel"
"R12","accessing registers","AJx64Assembler","Kernel"
"R8D","accessing registers","AJx64Assembler","Kernel"
"R10D","accessing registers","AJx64Assembler","Kernel"
"destinationIndex","register","AJx64Assembler","Kernel"
"newInstruction","accessing","AJx64Assembler","Kernel"
"R8W","accessing registers","AJx64Assembler","Kernel"
"stackPointer","register","AJx64Assembler","Kernel"
"XMM14","accessing registers","AJx64Assembler","Kernel"
"RSP","accessing registers","AJx64Assembler","Kernel"
"RBX","accessing registers","AJx64Assembler","Kernel"
"RSI","accessing registers","AJx64Assembler","Kernel"
"R15D","accessing registers","AJx64Assembler","Kernel"
"XMM15","accessing registers","AJx64Assembler","Kernel"
"R9W","accessing registers","AJx64Assembler","Kernel"
"R13B","accessing registers","AJx64Assembler","Kernel"
"R14","accessing registers","AJx64Assembler","Kernel"
"EIP","accessing registers","AJx64Assembler","Kernel"
"R14W","accessing registers","AJx64Assembler","Kernel"
"BPL","accessing registers","AJx64Assembler","Kernel"
"R15","accessing registers","AJx64Assembler","Kernel"
"newJumpInstruction","accessing","AJx64Assembler","Kernel"
"sourceIndex","register","AJx64Assembler","Kernel"
"XMM11","accessing registers","AJx64Assembler","Kernel"
"R14D","accessing registers","AJx64Assembler","Kernel"
"R12B","accessing registers","AJx64Assembler","Kernel"
"R13D","accessing registers","AJx64Assembler","Kernel"
"R10","accessing registers","AJx64Assembler","Kernel"
"counter","register","AJx64Assembler","Kernel"
"DIL","accessing registers","AJx64Assembler","Kernel"
"R13W","accessing registers","AJx64Assembler","Kernel"
"R11W","accessing registers","AJx64Assembler","Kernel"
"R11B","accessing registers","AJx64Assembler","Kernel"
"R13","accessing registers","AJx64Assembler","Kernel"
"accumulator","register","AJx64Assembler","Kernel"
"RAX","accessing registers","AJx64Assembler","Kernel"
"R15B","accessing registers","AJx64Assembler","Kernel"
"pointerSize","accessing","AJx64Assembler","Kernel"
"R9B","accessing registers","AJx64Assembler","Kernel"
"is32","testing","AJx64Assembler","Kernel"
"XMM10","accessing registers","AJx64Assembler","Kernel"
"RBP","accessing registers","AJx64Assembler","Kernel"
"testAssemblyMemBaseDisp","tests","AJx64AssemblerTests","Kernel"
"testCallInvalid","tests","AJx64AssemblerTests","Kernel"
"testBitTest","tests","AJx64AssemblerTests","Kernel"
"testPush","tests","AJx64AssemblerTests","Kernel"
"testPop","tests","AJx64AssemblerTests","Kernel"
"testNeg","tests","AJx64AssemblerTests","Kernel"
"testMovMemory","tests","AJx64AssemblerTests","Kernel"
"testMovImmediate","tests","AJx64AssemblerTests","Kernel"
"testInvalidTest","tests","AJx64AssemblerTests","Kernel"
"testAssemblyMemBase","tests","AJx64AssemblerTests","Kernel"
"testSyscall","tests","AJx64AssemblerTests","Kernel"
"testXorFastCode","tests","AJx64AssemblerTests","Kernel"
"testAssembly0","tests","AJx64AssemblerTests","Kernel"
"testHighByteRegistersInvalid","tests","AJx64AssemblerTests","Kernel"
"testAssembly3","tests","AJx64AssemblerTests","Kernel"
"testByteRegs4through7","tests","AJx64AssemblerTests","Kernel"
"testAssembly01","tests","AJx64AssemblerTests","Kernel"
"testAssembly2","tests","AJx64AssemblerTests","Kernel"
"testAssembly1","tests","AJx64AssemblerTests","Kernel"
"testMovZX","tests","AJx64AssemblerTests","Kernel"
"testAssemblyImmAddr","tests","AJx64AssemblerTests","Kernel"
"testMul","tests","AJx64AssemblerTests","Kernel"
"testXorInvalid","tests","AJx64AssemblerTests","Kernel"
"testIndexScales","tests","AJx64AssemblerTests","Kernel"
"testAssemblyMemBytes","tests","AJx64AssemblerTests","Kernel"
"testCall","tests","AJx64AssemblerTests","Kernel"
"testMovHighIndexRegister","tests","AJx64AssemblerTests","Kernel"
"newAssembler","utility","AJx64AssemblerTests","Kernel"
"testJumps","tests","AJx64AssemblerTests","Kernel"
"testAssemblyMemBaseDisp2","tests","AJx64AssemblerTests","Kernel"
"testTest","tests","AJx64AssemblerTests","Kernel"
"testXor","tests","AJx64AssemblerTests","Kernel"
"testImmLabels","tests","AJx64AssemblerTests","Kernel"
"testMovZxSxInvalid","tests","AJx64AssemblerTests","Kernel"
"instructionDesciptions","accessing","AJx64Instruction","Kernel"
"is64BitMode","testing","AJx64Instruction","Kernel"
"requiresRex","testing","AJx64Instruction","Kernel"
"is32BitMode","testing","AJx64Instruction","Kernel"
"emitbswap:operand1:operand2:operand3:","code emitting","AJx64InstructionDescription","Kernel"
"emitpop:operand1:operand2:operand3:","code emitting","AJx64InstructionDescription","Kernel"
"emitcall:operand1:operand2:operand3:","code emitting","AJx64InstructionDescription","Kernel"
"emitmovSxZx:operand1:operand2:operand3:","code emitting","AJx64InstructionDescription","Kernel"
"emitmov:operand1:operand2:operand3:","code emitting","AJx64InstructionDescription","Kernel"
"emitalu:operand1:operand2:operand3:","code emitting","AJx64InstructionDescription","Kernel"
"emitmovPtr:operand1:operand2:operand3:","code emitting","AJx64InstructionDescription","Kernel"
"instructionDesciptions","accessing","AJx64JumpInstruction","Kernel"
"as64","converting","AJx64RipRegister","Kernel"
"code","accessing","AJx64RipRegister","Kernel"
"as32","converting","AJx64RipRegister","Kernel"
"isRip","testing","AJx64RipRegister","Kernel"
"influencingRegisters","accessing","AJx64RipRegister","Kernel"
"ripAccessError","error","AJx64RipRegister","Kernel"
"as8","converting","AJx64RipRegister","Kernel"
"descriptionOn:","printing","AJx64RipRegister","Kernel"
"isGeneralPurpose","testing","AJx64RipRegister","Kernel"
"isUpperBank","testing","AJx64RipRegister","Kernel"
"as16","converting","AJx64RipRegister","Kernel"
"isX86","testing","AJx64RipRegister","Kernel"
"index","accessing","AJx64RipRegister","Kernel"
"alignDouble","alignment","AJx86Assembler","Kernel"
"fldenv:","instructions generated","AJx86Assembler","Kernel"
"movzx:with:","instructions generated","AJx86Assembler","Kernel"
"amdprefetch:","instructions generated","AJx86Assembler","Kernel"
"not:","instructions generated","AJx86Assembler","Kernel"
"ESP","accessing registers","AJx86Assembler","Kernel"
"jnae:","instructions generated","AJx86Assembler","Kernel"
"fxsave:","instructions generated","AJx86Assembler","Kernel"
"mov:with:","instructions generated","AJx86Assembler","Kernel"
"initialize","initialization","AJx86Assembler","Kernel"
"data","register","AJx86Assembler","Kernel"
"cmovbe:with:","instructions generated","AJx86Assembler","Kernel"
"imul:with:with:","instructions generated","AJx86Assembler","Kernel"
"jnc:","instructions generated","AJx86Assembler","Kernel"
"movmskpd:with:","instructions generated","AJx86Assembler","Kernel"
"newCdeclCall","function calls","AJx86Assembler","Kernel"
"cmovae:with:","instructions generated","AJx86Assembler","Kernel"
"imm:","converting","AJx86Assembler","Kernel"
"jnle:","instructions generated","AJx86Assembler","Kernel"
"adc:with:","instructions generated","AJx86Assembler","Kernel"
"instructionDesciptions","accessing","AJx86Assembler","Kernel"
"stackPointer","register","AJx86Assembler","Kernel"
"noStackFrame","options","AJx86Assembler","Kernel"
"reset","initialize-release","AJx86Assembler","Kernel"
"XMM1","accessing registers","AJx86Assembler","Kernel"
"fstcw:","instructions generated","AJx86Assembler","Kernel"
"ficom:","instructions generated","AJx86Assembler","Kernel"
"MM4","accessing registers","AJx86Assembler","Kernel"
"cmovp:with:","instructions generated","AJx86Assembler","Kernel"
"fmul:","instructions generated","AJx86Assembler","Kernel"
"fsubp:","instructions generated","AJx86Assembler","Kernel"
"fucomp:","instructions generated","AJx86Assembler","Kernel"
